rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
53,Modern Times,1936,8.5,288K,1h 27m,G,https://www.imdb.com/title/tt0027977/,"https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
54,Once Upon a Time in the West,1968,8.5,388K,2h 25m,PG-13,https://www.imdb.com/title/tt0064116/,"https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
55,WALL·E,2008,8.4,1.3M,1h 38m,G,https://www.imdb.com/title/tt0910970/,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
56,City Lights,1931,8.5,218K,1h 27m,G,https://www.imdb.com/title/tt0021749/,"https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
57,Apocalypse Now,1979,8.4,778K,2h 27m,R,https://www.imdb.com/title/tt0078788/,"https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
58,Memento,2000,8.4,1.5M,1h 53m,R,https://www.imdb.com/title/tt0209144/,"https://m.media-amazon.com/images/M/MV5BMGQ3Y2Q4NjktN2E4Ny00Y2Q2LTliZDUtZTNiNjRhY2I0NGIyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
59,Avengers: Infinity War,2018,8.4,1.4M,2h 29m,PG-13,https://www.imdb.com/title/tt4154756/,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX90_CR0,0,90,133_.jpg"
60,Dune: Part Two,2024,8.4,793K,2h 46m,PG-13,https://www.imdb.com/title/tt15239678/,"https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
61,The Odyssey,2026,8.4,497K,2h 52m,R,https://www.imdb.com/title/tt33764258/,"https://m.media-amazon.com/images/M/MV5BNTcyNmJlZmQtNDUwYy00NDBjLTg1NGQtYTY2Y2UxMWM3NmI1XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
62,Raiders of the Lost Ark,1981,8.4,1.1M,1h 55m,PG,https://www.imdb.com/title/tt0082971/,"https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
