rank,title,year,rating,votes,duration,certificate,imdb_url,poster_url
173,Catch Me If You Can,2002,8.1,1.3M,2h 21m,PG-13,https://www.imdb.com/title/tt0264464/,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX90_CR0,0,90,133_.jpg"
174,V for Vendetta,2005,8.1,1.3M,2h 12m,R,https://www.imdb.com/title/tt0434409/,"https://m.media-amazon.com/images/M/MV5BZDEwOTRjNjgtOGY0MC00NGYxLWFmYmQtNjc1ZjVhMTc0OWUxXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
175,The Best of Youth,2003,8.4,29K,6h 14m,R,https://www.imdb.com/title/tt0346336/,"https://m.media-amazon.com/images/M/MV5BYzcxMTE2YjUtMzIyMy00NDNjLWE3ZWYtODQzYmNhNDVhNDZmXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
176,Dead Poets Society,1989,8.1,669K,2h 8m,PG,https://www.imdb.com/title/tt0097165/,"https://m.media-amazon.com/images/M/MV5BMDYwNGVlY2ItMWYxMS00YjZiLWE5MTAtYWM5NWQ2ZWJjY2Q3XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
177,Inside Out,2015,8.1,933K,1h 35m,PG,https://www.imdb.com/title/tt2096673/,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
178,Trainspotting,1996,8.1,775K,1h 33m,R,https://www.imdb.com/title/tt0117951/,"https://m.media-amazon.com/images/M/MV5BYmVkNGJkMzQtYWQwOS00OTZmLThjODQtZjNjNzllYzRiNTE0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
179,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1.1M,2h 10m,PG-13,https://www.imdb.com/title/tt1201607/,"https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
180,"Three Billboards Outside Ebbing, Missouri",2017,8.1,616K,1h 55m,R,https://www.imdb.com/title/tt5027774/,"https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_QL75_UX90_CR0,0,90,133_.jpg"
181,The Bridge on the River Kwai,1957,8.1,251K,2h 41m,PG,https://www.imdb.com/title/tt0050212/,"https://m.media-amazon.com/images/M/MV5BNzdkYmU2YmItNmZiYy00OWQyLTg0YWYtZmUxM2U3YTRiNTQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
182,Rashomon,1950,8.1,199K,1h 28m,Not Rated,https://www.imdb.com/title/tt0042876/,"https://m.media-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_QL75_UY133_CR2,0,90,133_.jpg"
183,Barry Lyndon,1975,8.1,208K,3h 5m,PG,https://www.imdb.com/title/tt0072684/,"https://m.media-amazon.com/images/M/MV5BNmM2MGQ5Y2UtYzA3ZC00ZDJlLTkwNDYtMjBmZGExZDJiN2RlXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
184,Ben-Hur,1959,8.1,274K,3h 32m,G,https://www.imdb.com/title/tt0052618/,"https://m.media-amazon.com/images/M/MV5BNjg2M2E1YzYtOThmMC00NjAyLWI5MzgtMDEwOGFiODdlOGUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
185,The Wild Robot,2024,8.1,238K,1h 42m,PG,https://www.imdb.com/title/tt29623480/,"https://m.media-amazon.com/images/M/MV5BZWNiZjVlZTUtNGUwYi00MjJmLTg2MDctNWEzYTJiMzY1ODc4XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
186,Warrior,2011,8.1,534K,2h 20m,PG-13,https://www.imdb.com/title/tt1291584/,"https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX90_CR0,3,90,133_.jpg"
187,Hacksaw Ridge,2016,8.1,697K,2h 19m,R,https://www.imdb.com/title/tt2119532/,"https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_QL75_UX90_CR0,3,90,133_.jpg"
188,Ratatouille,2007,8.1,966K,1h 51m,G,https://www.imdb.com/title/tt0382932/,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
189,Mad Max: Fury Road,2015,8.1,1.2M,2h,R,https://www.imdb.com/title/tt1392190/,"https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
190,Fargo,1996,8.1,797K,1h 38m,R,https://www.imdb.com/title/tt0116282/,"https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
191,Million Dollar Baby,2004,8.1,774K,2h 12m,PG-13,https://www.imdb.com/title/tt0405159/,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
192,Children of Heaven,1997,8.2,91K,1h 29m,PG,https://www.imdb.com/title/tt0118849/,"https://m.media-amazon.com/images/M/MV5BZWZlMjNhNzgtZGRhOS00Y2U5LThjOTctODNjZTI0ZTBiYzBhXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
193,My Neighbor Totoro,1988,8.1,440K,1h 26m,G,https://www.imdb.com/title/tt0096283/,"https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
194,Gran Torino,2008,8.1,870K,1h 56m,R,https://www.imdb.com/title/tt1205489/,"https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY133_CR0,0,90,133_.jpg"
195,Raging Bull,1980,8.1,414K,2h 9m,R,https://www.imdb.com/title/tt0081398/,"https://m.media-amazon.com/images/M/MV5BMjlkYmYyZWQtNTZkOS00ZjA0LWEwNWUtNzE2ZGNiYjg0MjA2XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
196,Years a Slave,2013,8.1,795K,2h 14m,R,https://www.imdb.com/title/tt2024544/,"https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
197,How to Train Your Dragon,2010,8.1,909K,1h 38m,PG,https://www.imdb.com/title/tt0892769/,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
198,Memories of Murder,2003,8.1,275K,2h 11m,Not Rated,https://www.imdb.com/title/tt0353969/,"https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
199,The Grand Budapest Hotel,2014,8.1,987K,1h 39m,R,https://www.imdb.com/title/tt2278388/,"https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
200,Before Sunrise,1995,8.1,384K,1h 41m,R,https://www.imdb.com/title/tt0112471/,"https://m.media-amazon.com/images/M/MV5BZDZhZmI1ZTUtYWI3NC00NTMwLTk3NWMtNDc0OGNjM2I0ZjlmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
201,"Monsters, Inc.",2001,8.1,1.1M,1h 32m,G,https://www.imdb.com/title/tt0198781/,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
202,Blade Runner,1982,8.1,891K,1h 57m,R,https://www.imdb.com/title/tt0083658/,"https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
203,Gone Girl,2014,8.1,1.2M,2h 29m,R,https://www.imdb.com/title/tt2267998/,"https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_QL75_UY133_CR0,0,90,133_.jpg"
204,Ford v Ferrari,2019,8.1,587K,2h 32m,PG-13,https://www.imdb.com/title/tt1950186/,"https://m.media-amazon.com/images/M/MV5BOTBjNTEyNjYtYjdkNi00YzE5LTljYzUtZjVlYmYwZmJmZWYxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
205,Jaws,1975,8.1,750K,2h 4m,PG,https://www.imdb.com/title/tt0073195/,"https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
206,In the Name of the Father,1993,8.1,205K,2h 13m,R,https://www.imdb.com/title/tt0107207/,"https://m.media-amazon.com/images/M/MV5BMGZiZDVjNzYtZWM4ZC00MzVkLThhNDEtMDJlOTBhYzVjMmNhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
207,Spider-Man: No Way Home,2021,8.1,1.1M,2h 28m,PG-13,https://www.imdb.com/title/tt10872600/,"https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
208,Chainsaw Man - The Movie: Reze Arc,2025,8.3,69K,1h 40m,R,https://www.imdb.com/title/tt30472557/,"https://m.media-amazon.com/images/M/MV5BZmMzNGVhODktYmU5MS00MDg1LThlNTEtNTMyYTg5MDA0Njk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
209,Wild Tales,2014,8.1,242K,2h 2m,R,https://www.imdb.com/title/tt3011894/,"https://m.media-amazon.com/images/M/MV5BNzAzMjA1ODAxOV5BMl5BanBnXkFtZTgwODg4NTQzNDE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
210,The Gold Rush,1925,8.1,129K,1h 35m,Approved,https://www.imdb.com/title/tt0015864/,"https://m.media-amazon.com/images/M/MV5BNGU1NjYzYTAtZmY0YS00NWIzLTkzNzUtYzc2ZTIyOTIxZjVhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
211,A Silent Voice: The Movie,2016,8.2,150K,2h 10m,Not Rated,https://www.imdb.com/title/tt5323662/,"https://m.media-amazon.com/images/M/MV5BOTFiNzRiOWEtYTQwNy00NmRiLWE0ZWYtNTE0YjExZjFmZjkwXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
212,Sherlock Jr.,1924,8.1,67K,45m,Passed,https://www.imdb.com/title/tt0015324/,"https://m.media-amazon.com/images/M/MV5BMjQzM2E2NjYtYmRjMC00ZmVlLTljZTgtNmQ5MGZlNDYyZTc5XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
213,Mary and Max,2009,8.1,203K,1h 32m,Not Rated,https://www.imdb.com/title/tt0978762/,"https://m.media-amazon.com/images/M/MV5BNzY2Mjc4NjMtNGY4Mi00NzM5LTk3ZTQtN2VkNzVkMzRmM2Y2XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
214,The Deer Hunter,1978,8.1,390K,3h 3m,R,https://www.imdb.com/title/tt0077416/,"https://m.media-amazon.com/images/M/MV5BZGI4YmVhMzMtMWExMS00MGZiLTg2MmItM2I2MWZjODAyM2U5XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
215,The Wages of Fear,1953,8.1,74K,2h 36m,Not Rated,https://www.imdb.com/title/tt0046268/,"https://m.media-amazon.com/images/M/MV5BMjI3MjU2Mzg2MF5BMl5BanBnXkFtZTgwOTg2MTMzMjE@._V1_QL75_UY133_CR5,0,90,133_.jpg"
216,Logan,2017,8.1,941K,2h 17m,R,https://www.imdb.com/title/tt3315342/,"https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
217,Rocky,1976,8.1,702K,2h,PG,https://www.imdb.com/title/tt0075148/,"https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.3M,2h 23m,PG-13,https://www.imdb.com/title/tt0325980/,"https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
219,The General,1926,8.1,106K,1h 18m,Passed,https://www.imdb.com/title/tt0017925/,"https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
220,Mr. Smith Goes to Washington,1939,8.1,130K,2h 9m,Approved,https://www.imdb.com/title/tt0031679/,"https://m.media-amazon.com/images/M/MV5BMDU4ZjNmMjEtMjcxYi00NDAxLWFlMjQtNWIyNjg5NWUzNTdjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
221,Tokyo Story,1953,8.1,79K,2h 17m,Not Rated,https://www.imdb.com/title/tt0046438/,"https://m.media-amazon.com/images/M/MV5BODdkNzcxZjItMDU2Yy00Y2JlLWFkYTQtNzIwM2Q4MWU5MTU2XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
222,La haine,1995,8.1,232K,1h 38m,Not Rated,https://www.imdb.com/title/tt0113247/,"https://m.media-amazon.com/images/M/MV5BMThlMDA3NDYtZGM2Zi00NmJhLThlYWItZjViZTkzZWU1ZWRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
223,Jai Bhim,2021,8.6,236K,2h 44m,TV-MA,https://www.imdb.com/title/tt15097216/,"https://m.media-amazon.com/images/M/MV5BZjEyNDIzNmEtMjdkYS00ZDAwLTljOWYtNDRhYTVhYTlmOTk1XkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg"
224,Spotlight,2015,8.1,541K,2h 9m,R,https://www.imdb.com/title/tt1895587/,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY133_CR0,0,90,133_.jpg"
225,Maharaja,2024,8.3,86K,2h 21m,Not Rated,https://www.imdb.com/title/tt26548265/,"https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg"
226,The Sound of Music,1965,8.1,295K,2h 54m,G,https://www.imdb.com/title/tt0059742/,"https://m.media-amazon.com/images/M/MV5BYWJhYmU4MjQtZDJhYi00ZGVjLTlkNTEtNzkzNGVjOWQ3MjcwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
227,The Terminator,1984,8.1,1M,1h 47m,R,https://www.imdb.com/title/tt0088247/,"https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
228,Wild Strawberries,1957,8.1,126K,1h 32m,Not Rated,https://www.imdb.com/title/tt0050986/,"https://m.media-amazon.com/images/M/MV5BZWQ5MDllM2EtZWRmNS00MmZiLWI4ZWQtMjRiY2Q5MTAxODY4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
229,On the Waterfront,1954,8.1,181K,1h 48m,Approved,https://www.imdb.com/title/tt0047296/,"https://m.media-amazon.com/images/M/MV5BZDJlYTM1ZGYtZTM4YS00MzFhLThiZjktYzQ0ZjAzMGYwZTU3XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
230,The Best Years of Our Lives,1946,8.1,77K,2h 50m,Approved,https://www.imdb.com/title/tt0036868/,"https://m.media-amazon.com/images/M/MV5BNTgxMzUyODQtMDJmZC00ZGMyLWI3MzAtZTYwYjBjZjFmMzIxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
231,The Third Man,1949,8.1,197K,1h 44m,Approved,https://www.imdb.com/title/tt0041959/,"https://m.media-amazon.com/images/M/MV5BNGVjMTMxZTQtMmVlNy00YmI0LWJjMDUtYTgyZWU1Njg5ZGRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
232,The Big Lebowski,1998,8.1,925K,1h 57m,R,https://www.imdb.com/title/tt0118715/,"https://m.media-amazon.com/images/M/MV5BY2E3OWQ5OWYtYTRkMC00NjVjLWIzZDQtNmRmM2ZiYTIyYmYxXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
233,The Incredibles,2004,8.0,917K,1h 55m,PG,https://www.imdb.com/title/tt0317705/,"https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
234,Hachi: A Dog's Tale,2009,8.1,348K,1h 33m,G,https://www.imdb.com/title/tt1028532/,"https://m.media-amazon.com/images/M/MV5BNTU5NjYyYTgtZGQ3My00MzRhLThjNGYtZmVjN2JjYjhkMjhhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
235,Before Sunset,2004,8.1,320K,1h 20m,R,https://www.imdb.com/title/tt0381681/,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY133_CR0,0,90,133_.jpg"
236,Room,2015,8.1,485K,1h 58m,R,https://www.imdb.com/title/tt3170832/,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_QL75_UX90_CR0,0,90,133_.jpg"
237,The Exorcist,1973,8.1,505K,2h 2m,R,https://www.imdb.com/title/tt0070047/,"https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
238,Hotel Rwanda,2004,8.1,395K,2h 1m,PG-13,https://www.imdb.com/title/tt0395169/,"https://m.media-amazon.com/images/M/MV5BY2FmMWRmZmQtN2IzMS00OGVmLWFmNjktMTM0YWQzODcwYTEwXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
239,The Iron Giant,1999,8.1,266K,1h 26m,PG,https://www.imdb.com/title/tt0129167/,"https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
240,The Seventh Seal,1957,8.1,218K,1h 36m,Not Rated,https://www.imdb.com/title/tt0050976/,"https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
241,Platoon,1986,8.0,477K,2h,R,https://www.imdb.com/title/tt0091763/,"https://m.media-amazon.com/images/M/MV5BZjE4YjllODAtZGMxZS00Mjg2LThkOWUtZjNkMjQ5YThiNDU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
242,The Chaos Class Failed the Class,1975,8.4,32K,1h 35m,Not Rated,https://www.imdb.com/title/tt0252488/,"https://m.media-amazon.com/images/M/MV5BZmY3MjVhMmQtOTcwYy00ZjcyLWFiZDgtN2JiODVjNjQzYWQyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
243,Rush,2013,8.1,567K,2h 3m,R,https://www.imdb.com/title/tt1979320/,"https://m.media-amazon.com/images/M/MV5BMTZhOGQxM2ItNGQyYy00YzE5LWI5MjMtNmMzNGQzNDE1OTUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
244,Stand by Me,1986,8.1,495K,1h 29m,R,https://www.imdb.com/title/tt0092005/,"https://m.media-amazon.com/images/M/MV5BNGJkNTUwM2MtZWE2MS00YjNkLWE3MjktNWQwZDQxMDIyZWVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
245,The Wizard of Oz,1939,8.1,473K,1h 42m,G,https://www.imdb.com/title/tt0032138/,"https://m.media-amazon.com/images/M/MV5BNjIwNzAzODc1MF5BMl5BanBnXkFtZTgwNzczMjM5MzE@._V1_QL75_UX90_CR0,1,90,133_.jpg"
246,The Battle of Algiers,1966,8.1,77K,2h 1m,Not Rated,https://www.imdb.com/title/tt0058946/,"https://m.media-amazon.com/images/M/MV5BMTY2Mjk0OGEtYTM3Yy00ZWZiLWFhNjAtNGExMjEzNGVmMDMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
247,My Father and My Son,2005,8.2,102K,1h 52m,Not Rated,https://www.imdb.com/title/tt0476735/,"https://m.media-amazon.com/images/M/MV5BZDE3MTBkNmQtNGFjMC00YTcwLWExY2ItN2MyMGZkNWJlMmFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
248,The Passion of Joan of Arc,1928,8.1,69K,1h 54m,Passed,https://www.imdb.com/title/tt0019254/,"https://m.media-amazon.com/images/M/MV5BNTE1MDliZjgtYTU2Yy00YjAxLTljYTItNDE2ZGYwYTY1MGQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
249,Autumn Sonata,1978,8.1,43K,1h 39m,PG,https://www.imdb.com/title/tt0077711/,"https://m.media-amazon.com/images/M/MV5BNTg1MzJiNTYtZjcyNS00NDE5LWE0N2ItMGIxM2Y2ZDMyYjJjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
250,Gangs of Wasseypur,2012,8.2,116K,5h 21m,Not Rated,https://www.imdb.com/title/tt1954470/,"https://m.media-amazon.com/images/M/MV5BNWQyMmJkYTItNDUyYS00MjgwLWFmYjUtOWQ1NmRjOGZlOTZhXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
